ID,authors,title,journal,year_pub,pages,journal_issue,type,number_authors,collaborative,full_reference,lead_author_institution,institution_country,institution_type,country_topic,theory_topic,subject_topic,method_topic
107,"Harrison, G",Quoit Brooches and the Roman-Medieval Transition,Theoretical Roman Archaeology Conference Proceedings,1999,pp.108-120,8,proc,1,FALSE,"Harrison, G., 1999. Quoit Brooches and the Roman-Medieval Transition. Theoretical Roman Archaeology Journal, (1998), pp.108–120. DOI: http://doi.org/10.16995/TRAC1998_108_120",Durham University,England,University,Britain,change identity ethnicity,transition brooches,
108,"Leone, A",Change or No Change? Revised Perceptions of Urban Transformation in Late Antiquity,Theoretical Roman Archaeology Conference Proceedings,1999,pp.121-130,8,proc,1,FALSE,"Leone, A., 1999. Change or No Change? Revised Perceptions of Urban Transformation in Late Antiquity . Theoretical Roman Archaeology Journal, (1998), pp.121–130. DOI: http://doi.org/10.16995/TRAC1998_121_130",University of Leicester,England,University,,urbanism society,architecture,text
109,"van Driel Murray, C",And Did Those Feet in Ancient Time… Feet and Shoes as a Material Projection of the Self,Theoretical Roman Archaeology Conference Proceedings,1999,pp.131-140,8,proc,1,FALSE,"van Driel-Murray, C., 1999. And Did Those Feet in Ancient Time… Feet and Shoes as a Material Projection of the Self. Theoretical Roman Archaeology Journal, (1998), pp.131–140. DOI: http://doi.org/10.16995/TRAC1998_131_140",University of Amsterdam,Amsterdam,University,,ritual structured-deposition,shoes,
110,"Baker, P",Soranus and the Pompeii Speculum: The Sociology of Gynaecology and Roman Perceptions of the Female Body,Theoretical Roman Archaeology Conference Proceedings,1999,pp.141-150,8,proc,1,FALSE,"Baker, P., 1999. Soranus and the Pompeii Speculum: The Sociology of Gynaecology and Roman Perceptions of the Female Body . Theoretical Roman Archaeology Journal, (1998), pp.141–150. DOI: http://doi.org/10.16995/TRAC1998_141_150",Newcastle University,England,University,,society gender body,medicine,text epigraphy
111,"Pearce, J",The Dispersed Dead: Preliminary Observations on Burial and Settlement in Rural Roman Britain,Theoretical Roman Archaeology Conference Proceedings,1999,pp.151-162,8,proc,1,FALSE,"Pearce, J., 1999. The Dispersed Dead: Preliminary Observations on Burial and Settlement in Rural Roman Britain. Theoretical Roman Archaeology Journal, (1998), pp.151–162. DOI: http://doi.org/10.16995/TRAC1998_151_162",Durham University,England,University,Britain,death rural space,burial settlement,
112,"Ricci, G Terrenato, N",Ideological Biases in the Urban Archaeology of Rome: A Quantitative Approach,Theoretical Roman Archaeology Conference Proceedings,1999,pp.163-171,8,proc,2,TRUE,"Ricci, G. and Terrenato, N., 1999. Ideological Biases in the Urban Archaeology of Rome: A Quantitative Approach. Theoretical Roman Archaeology Journal, (1998), pp.163–171. DOI: http://doi.org/10.16995/TRAC1998_163_171",University of North Carolina at Chapel Hill,USA,University,Italy,urbanism,,gis
113,"Fincham, G Harrison, G Revell, L Holland, R",Introduction,Theoretical Roman Archaeology Conference Proceedings,2000,pp.i-x,9,proc,4,TRUE,"Fincham, G., Harrison, G., Revell, L. and Holland, R.R., 2000. Preface and Editors’ Introduction. Theoretical Roman Archaeology Journal, (1999), p.i–x. DOI: http://doi.org/10.16995/TRAC1999_i_x",Durham University,England,University,,,preface,
114,"Revell, L",The Creation of Multiple Identities in Roman Italica,Theoretical Roman Archaeology Conference Proceedings,2000,pp.1-7,9,proc,1,FALSE,"Revell, L., 2000. The Creation of Multiple Identities in Roman Italica. Theoretical Roman Archaeology Journal, (1999), pp.1–7. DOI: http://doi.org/10.16995/TRAC1999_1_7",University of Southampton,England,University,Spain,identity community,architecture,epigraphy
115,"Eckardt, H",Illuminating Roman Britain,Theoretical Roman Archaeology Conference Proceedings,2000,pp.8-21,9,proc,1,FALSE,"Eckardt, H., 2000. Illuminating Roman Britain. Theoretical Roman Archaeology Journal, (1999), pp.8–21. DOI: http://doi.org/10.16995/TRAC1999_8_21",University of Reading,England,University,Britain,identity practice,lamps,
116,"Clarke, S",In Search of a Different Roman Period: The Finds Assemblage at the Newstead Military Complex,Theoretical Roman Archaeology Conference Proceedings,2000,pp.22-29,9,proc,1,FALSE,"Clarke, S., 2000. In Search of a Different Roman Period: The Finds Assemblage at the Newstead Military Complex. Theoretical Roman Archaeology Journal, (1999), pp.22–29. DOI: http://doi.org/10.16995/TRAC1999_22_29",University of the Highlands and Islands,Scotland,University,Britain,ritual structured-deposition,military artefacts,
117,"Fincham, G","Romanisation, Status and the Landscape: Extracting a Discrepant Perspective from Survey Data",Theoretical Roman Archaeology Conference Proceedings,2000,pp.30-36,9,proc,1,FALSE,"Fincham, G., 2000. Romanisation, Status and the Landscape: Extracting a Discrepant Perspective from Survey Data . Theoretical Roman Archaeology Journal, (1999), pp.30–36. DOI: http://doi.org/10.16995/TRAC1999_30_36",University of Leicester,England,University,Britain,landscape romanization,,
118,"Pegler, A",Social Organisations within the Roman Army,Theoretical Roman Archaeology Conference Proceedings,2000,pp.37-43,9,proc,1,FALSE,"Pegler, A., 2000. Social Organisations within the Roman Army. Theoretical Roman Archaeology Journal, (1999), pp.37–43. DOI: http://doi.org/10.16995/TRAC1999_37_43","Birkbeck College, University of London",England,University,,society,military,
119,"MacMahon, A",Taberna Economics,Theoretical Roman Archaeology Conference Proceedings,2000,pp.44-52,9,proc,1,FALSE,"Mac Mahon, A., 2000. Taberna Economics. Theoretical Roman Archaeology Journal, (1999), pp.44–52. DOI: http://doi.org/10.16995/TRAC1999_44_52",Durham University,England,University,Britain,economy,taberna architecture,
120,"Walsh, M",Roman Maritime Activities Around Britain: What is the Evidence and How Might it be Enhanced?,Theoretical Roman Archaeology Conference Proceedings,2000,pp.53-63,9,proc,1,FALSE,"Walsh, M., 2000. Roman Maritime Activities Around Britain: What is the Evidence and How Might it be Enhanced?. Theoretical Roman Archaeology Journal, (1999), pp.53–63. DOI: http://doi.org/10.16995/TRAC1999_53_63",University of Southampton,England,University,Britain,practice,maritime,
121,"Stallibrass, S","Cattle, Culture, Status and Soldiers in Northern England",Theoretical Roman Archaeology Conference Proceedings,2000,pp.64-73,9,proc,1,FALSE,"Stallibrass, S., 2000. Cattle, Culture, Status and Soldiers in Northern England . Theoretical Roman Archaeology Journal, (1999), pp.64–73. DOI: http://doi.org/10.16995/TRAC1999_64_73",University of Liverpool,England,University,Britain,identity,military,zooarchaeology
122,"Ciaraldi, M Richardson, J","Food, Ritual and Rubbish in the Making on Pompeii",Theoretical Roman Archaeology Conference Proceedings,2000,pp.74-82,9,proc,2,TRUE,"Ciaraldi, M. and Richardson, J., 2000. Food, Ritual and Rubbish in the Making on Pompeii. Theoretical Roman Archaeology Journal, (1999), pp.74–82. DOI: http://doi.org/10.16995/TRAC1999_74_82",University of Birmingham,England,University,Italy,ritual structured-deposition,,zooarchaeology archaeobotanical
123,"Janes, D","Wood, Masonry and the Construction of Identity: Comparing Southern Britain and Gaul, 4th to 7th Centuries",Theoretical Roman Archaeology Conference Proceedings,2000,pp.83-89,9,proc,1,FALSE,"Janes, D., 2000. Wood, Masonry and the Construction of Identity: Comparing Southern Britain and Gaul, 4th to 7th Centuries . Theoretical Roman Archaeology Journal, (1999), pp.83–89. DOI: http://doi.org/10.16995/TRAC1999_83_89","King's College, London",England,University,Britain France,identity,architecture,art
124,"Rushworth, A",From Periphery to Core in Late Antique Mauretania,Theoretical Roman Archaeology Conference Proceedings,2000,pp.90-103,9,proc,1,FALSE,"Rushworth, A., 2000. From Periphery to Core in Late Antique Mauretania. Theoretical Roman Archaeology Journal, (1999), pp.90–103. DOI: http://doi.org/10.16995/TRAC1999_90_103",Newcastle University,England,University,Algeria Morocco,landscape,post-Roman settlement,
125,"Tully, D","The Application of GIS to the Study of Settlement Patterns: Silchester, a Case Study",Theoretical Roman Archaeology Conference Proceedings,2000,pp.104-117,9,proc,1,FALSE,"Tully, D., 2000. The Application of GIS to the Study of Settlement Patterns: Silchester, a Case Study. Theoretical Roman Archaeology Journal, (1999), pp.104–117. DOI: http://doi.org/10.16995/TRAC1999_104_117",University of Queensland,Australia,University,Britain,landscape,settlement,gis
126,"Strutt, K",Use of a GIS for Regional Archaeological Analysis: Application of Computer-Based Techniques to Iron Age and Roman Settlement Distribution in North-West Portugal,Theoretical Roman Archaeology Conference Proceedings,2000,pp.118-141,9,proc,1,FALSE,"Strutt, K., 2000. Use of a GIS for Regional Archaeological Analysis: Application of Computer-Based Techniques to Iron Age and Roman Settlement Distribution in North-West Portugal . Theoretical Roman Archaeology Journal, (1999), pp.118–141. DOI: http://doi.org/10.16995/TRAC1999_118_141",Unknown,Unknown,Unknown,Portugal,landscape space visibility,settlement,gis
127,"Davies, G Gardner, A Lockyear, K",Preface,Theoretical Roman Archaeology Conference Proceedings,2001,pp.i-vi,10,proc,3,TRUE,"Davies, G., Gardner, A. and Lockyear, K., 2001. Preface and Editors’ Preface. Theoretical Roman Archaeology Journal, (2000), p.i–vi. DOI: http://doi.org/10.16995/TRAC2000_i_vi",University College London,England,University,,,preface,
128,"Clarke, D Hunter, F",Representing the Romans in the Museum of Scotland,Theoretical Roman Archaeology Conference Proceedings,2001,pp.1-11,10,proc,2,TRUE,"Clarke, D. and Hunter, F., 2001. Representing the Romans in the Museum of Scotland. Theoretical Roman Archaeology Journal, (2000), pp.1–11. DOI: http://doi.org/10.16995/TRAC2000_1_11",National Museums Scotland,Scotland,National museum,Britain,,museum,
129,"Grew, F",Representing Londinium: The Influence of Colonial and Post-Colonial Discourses,Theoretical Roman Archaeology Conference Proceedings,2001,pp.12-24,10,proc,1,FALSE,"Grew, F., 2001. Representing Londinium: The Influence of Colonial and Post-Colonial Discourses . Theoretical Roman Archaeology Journal, (2000), pp.12–24. DOI: http://doi.org/10.16995/TRAC2000_12_24",Museum of London,England,National museum,Britain,post-colonial colonialism,museum,
130,"Fincham, G","Writing Colonial Conflict, Acknowledging Colonial Weakness",Theoretical Roman Archaeology Conference Proceedings,2001,pp.25-34,10,proc,1,FALSE,"Fincham, G., 2001. Writing Colonial Conflict, Acknowledging Colonial Weakness. Theoretical Roman Archaeology Journal, (2000), pp.25–34. DOI: http://doi.org/10.16995/TRAC2000_25_34",University of Leicester,England,University,Britain,colonialism,,text
131,"Gardner, A",Identities in the Late Roman Army: Material and Textual Perspectives,Theoretical Roman Archaeology Conference Proceedings,2001,pp.35-47,10,proc,1,FALSE,"Gardner, A., 2001. Identities in the Late Roman Army: Material and Textual Perspectives. Theoretical Roman Archaeology Journal, (2000), pp.35–47. DOI: http://doi.org/10.16995/TRAC2000_35_47",University College London,England,University,,identity structuration,military artefacts,text
132,"Baker, P","Medicine, Culture and Military Identity",Theoretical Roman Archaeology Conference Proceedings,2001,pp.48-68,10,proc,1,FALSE,"Barker, P.A., 2001. Medicine, Culture and Military Identity. Theoretical Roman Archaeology Journal, (2000), pp.46–68. DOI: http://doi.org/10.16995/TRAC2000_48_68",University of Kent,England,University,,identity structured-deposition,military medicine,
133,"Davies, G","Siege Works, Psychology and Symbolism",Theoretical Roman Archaeology Conference Proceedings,2001,pp.69-79,10,proc,1,FALSE,"Davies, G., 2001. Siege Works, Psychology and Symbolism. Theoretical Roman Archaeology Journal, (2000), pp.69–79. DOI: http://doi.org/10.16995/TRAC2000_69_79",University College London,England,University,,power symbolism,military,
134,"Aldhouse Green, M","Animal Iconographies: Metaphor, Meaning and Identity (or Why Chinese Dragons Don’t Have Wings)",Theoretical Roman Archaeology Conference Proceedings,2001,pp.80-93,10,proc,1,FALSE,"Aldhouse Green, M.J., 2001. Animal Iconographies: Metaphor, Meaning and Identity (or Why Chinese Dragons Don’t Have Wings). Theoretical Roman Archaeology Journal, (2000), pp.80–93. DOI: http://doi.org/10.16995/TRAC2000_80_93",University of Wales,Wales,University,France Britain,religion identity,,iconography
135,"Hawkes, G",An Archaeology of Food: A Case Study From Roman Britain,Theoretical Roman Archaeology Conference Proceedings,2001,pp.94-103,10,proc,1,FALSE,"Hawkes, G., 2001. An Archaeology of Food: A Case Study From Roman Britain. Theoretical Roman Archaeology Journal, (2000), pp.94–103. DOI: http://doi.org/10.16995/TRAC2000_94_103",University of Leicester,England,University,Britain,post-colonial identity,diet,zooarchaeology
136,"Spradley, K",Small Finds: Problems and Possibilities,Theoretical Roman Archaeology Conference Proceedings,2001,pp.104-111,10,proc,1,FALSE,"Spradley, K., 2001. Small Finds: Problems and Possibilities. Theoretical Roman Archaeology Journal, (2000), pp.104–111. DOI: http://doi.org/10.16995/TRAC2000_104_111",University of Southampton,England,University,,identity practice,artefacts,
137,"Carr, G",‘Romanisation’ and the Body,Theoretical Roman Archaeology Conference Proceedings,2001,pp.112-124,10,proc,1,FALSE,"Carr, G., 2001. ‘Romanisation’ and the Body. Theoretical Roman Archaeology Journal, (2000), pp.112–124. DOI: http://doi.org/10.16995/TRAC2000_112_124","St John's College, Cambridge",England,University,Britain,romanization identity,artefacts,
138,"Pearce, J","Infants, Cemeteries and Communities in the Roman Provinces",Theoretical Roman Archaeology Conference Proceedings,2001,pp.125-142,10,proc,1,FALSE,"Pearce, J., 2001. Infants, Cemeteries and Communities in the Roman Provinces. Theoretical Roman Archaeology Journal, (2000), pp.125–142. DOI: http://doi.org/10.16995/TRAC2000_125_142",University of Oxford,England,University,France,community,burial children,osteoarchaeology text
139,"Scott, E",Unpicking a Myth: The Infanticide of Female and Disabled Infants in Antiquity,Theoretical Roman Archaeology Conference Proceedings,2001,pp.143-151,10,proc,1,FALSE,"Scott, E., 2001. Unpicking a Myth: The Infanticide of Female and Disabled Infants in Antiquity . Theoretical Roman Archaeology Journal, (2000), pp.143–151. DOI: http://doi.org/10.16995/TRAC2000_143_151","King Alfred's University College, Winchester",England,University,,gender religion ritual death,burial children,
140,"Gowland, R",Playing Dead: Implications of Mortuary Evidence for the Social Construction of Childhood in Roman Britain,Theoretical Roman Archaeology Conference Proceedings,2001,pp.152-168,10,proc,1,FALSE,"Gowland, R., 2001. Playing Dead: Implications of Mortuary Evidence for the Social Construction of Childhood in Roman Britain . Theoretical Roman Archaeology Journal, (2000), pp.152–168. DOI: http://doi.org/10.16995/TRAC2000_152_168",Durham University,England,University,Britain,society identity,burial children,
141,"Carruthers, M van Driel-Murray, C Gardner, A Lucas, J Revell, L Swift, E",Preface,Theoretical Roman Archaeology Conference Proceedings,2002,pp.i-iv,11,proc,6,TRUE,"Carruthers, M., van Driel-Murray, C., Gardner, A., Lucas, J., Revell, L. and Swift, E., 2002. Preface and Editors’ Preface. Theoretical Roman Archaeology Journal, (2001), p.i–iv. DOI: http://doi.org/10.16995/TRAC2001_i_iv",University of Glasgow,Scotland,University,,,preface,
142,"Wellington, I",Considering Continuity of Deposition on Votive Sites in Northeastern France from 200 BC to AD 100,Theoretical Roman Archaeology Conference Proceedings,2002,pp.1-12,11,proc,1,FALSE,"Wellington, I., 2002. Considering Continuity of Deposition on Votive Sites in Northeastern France from 200 BC to AD 100. Theoretical Roman Archaeology Journal, (2001), pp.1–12. DOI: http://doi.org/10.16995/TRAC2001_1_12",Durham University,England,University,France,religion structured-deposition,artefacts prehistory coins,
143,"Gerrard, J",Pots for Cash? A Critique of the Role of the ‘Free Market’ in the Late Roman Economy,Theoretical Roman Archaeology Conference Proceedings,2002,pp.13-23,11,proc,1,FALSE,"Gerrard, J., 2002. Pots for Cash? A Critique of the Role of the ‘Free Market’ in the Late Roman Economy. Theoretical Roman Archaeology Journal, (2001), pp.13–23. DOI: http://doi.org/10.16995/TRAC2001_13_23",University of York,England,University,Britain,economy,coins pottery,
144,"Kerr, L","A Topography of Death: The Buildings of the Emperor Maxentius on the Via Appia, Rome",Theoretical Roman Archaeology Conference Proceedings,2002,pp.24-33,11,proc,1,FALSE,"Kerr, L., 2002. A Topography of Death: The Buildings of the Emperor Maxentius on the Via Appia, Rome. Theoretical Roman Archaeology Journal, (2001), pp.24–33. DOI: http://doi.org/10.16995/TRAC2001_24_33",Newcastle University,England,University,Italy,death ritual urbanism,architecture burial monument,
145,"Fincham, G",A Consumer Theory and Roman North Africa: A Post-Colonial Approach to the Ancient Economy,Theoretical Roman Archaeology Conference Proceedings,2002,pp.34-44,11,proc,1,FALSE,"Fincham, G., 2002. A Consumer Theory and Roman North Africa: A Post-Colonial Approach to the Ancient Economy . Theoretical Roman Archaeology Journal, (2001), pp.34–44. DOI: http://doi.org/10.16995/TRAC2001_34_44","Birkbeck College, University of London",England,University,Libya,post-colonial economy consumption,pottery,
146,"Hawkes, G",Wolves’ Nipples and Otters’ Noses? Rural Foodways in Roman Britain,Theoretical Roman Archaeology Conference Proceedings,2002,pp.45-50,11,proc,1,FALSE,"Hawkes, G., 2002. Wolves’ Nipples and Otters’ Noses? Rural Foodways in Roman Britain. Theoretical Roman Archaeology Journal, (2001), pp.45–50. DOI: http://doi.org/10.16995/TRAC2001_45_50",University of Leicester,England,University,Britain,society culture,diet,
147,"Lucas, J",Material Culture Patterns and Cultural Change in South-West Britain,Theoretical Roman Archaeology Conference Proceedings,2002,pp.51-72,11,proc,1,FALSE,"Lucas, J., 2002. Material Culture Patterns and Cultural Change in South-West Britain. Theoretical Roman Archaeology Journal, (2001), pp.51–72. DOI: http://doi.org/10.16995/TRAC2001_51_72",University of Southampton,England,University,Britain,agency space,material-culture military,
148,"Weekes, J",Acculturation and the Temporal Features of Ritual Action,Theoretical Roman Archaeology Conference Proceedings,2002,pp.73-82,11,proc,1,FALSE,"Weekes, J., 2002. Acculturation and the Temporal Features of Ritual Action. Theoretical Roman Archaeology Journal, (2001), pp.73–82. DOI: http://doi.org/10.16995/TRAC2001_73_82",University of Kent,England,University,,ritual acculturation time,,
149,"Swift, C","Celts, Romans and the Coligny Calendar",Theoretical Roman Archaeology Conference Proceedings,2002,pp.83-95,11,proc,1,FALSE,"Swift, C., 2002. Celts, Romans and the Coligny Calendar . Theoretical Roman Archaeology Journal, (2001), pp.83–95. DOI: http://doi.org/10.16995/TRAC2001_83_95",NUI Maynooth,Ireland,University,,time,prehistory,historiography
150,"van Driel Murray, C",Regarding the Stars,Theoretical Roman Archaeology Conference Proceedings,2002,pp.96-103,11,proc,1,FALSE,"van Driel-Murray, C., 2002. Regarding the Stars. Theoretical Roman Archaeology Journal, (2001), pp.96–103. DOI: http://doi.org/10.16995/TRAC2001_96_103",Instituut voor Prae-en Protohistorie (IPP),Amsterdam,Research Centre,,cosmology symbology,,
151,"Carroll, M",Measuring Time and Inventing History in the Early Empire: Roman and Germanic Perspectives,Theoretical Roman Archaeology Conference Proceedings,2002,pp.104-112,11,proc,1,FALSE,"Carroll, M., 2002. Measuring Time and Inventing History in the Early Empire: Roman and Germanic Perspectives. Theoretical Roman Archaeology Journal, (2001), pp.104–112. DOI: http://doi.org/10.16995/TRAC2001_104_112",University of Sheffield,England,University,France Germany,time,,text
152,"Hansen, I",The Metamorphic Moment: Mythological and Heroic Narratives on Roman Sarcophagi,Theoretical Roman Archaeology Conference Proceedings,2002,pp.113-124,11,proc,1,FALSE,"Hansen, I.L., 2002. The Metamorphic Moment: Mythological and Heroic Narratives on Roman Sarcophagi. Theoretical Roman Archaeology Journal, (2001), pp.113–124. DOI: http://doi.org/10.16995/TRAC2001_113_124",British School at Rome,Italy,Research Centre,,ritual,burial,iconography
153,"Carr, G Swift, E Weekes, J",Preface,Theoretical Roman Archaeology Conference Proceedings,2003,pp.i-v,12,proc,3,TRUE,"Carr, G., Swift, E. and Weekes, J., 2003. Preface and Editors’ Preface. Theoretical Roman Archaeology Journal, (2002), p.i–v. DOI: http://doi.org/10.16995/TRAC2002_i_v",University of Kent,England,University,,,preface,
154,"Gardner, A",Seeking a Material Turn: The Artefactuality of the Roman Empire,Theoretical Roman Archaeology Conference Proceedings,2003,pp.1-13,12,proc,1,FALSE,"Gardner, A., 2003. Seeking a Material Turn: The Artefactuality of the Roman Empire . Theoretical Roman Archaeology Journal, (2002), pp.1–13. DOI: http://doi.org/10.16995/TRAC2002_1_13",University College London,England,University,,agency community,material-culture,
155,"Ferris, I",An Empire in Pieces. Roman Archaeology and the Fragment,Theoretical Roman Archaeology Conference Proceedings,2003,pp.14-28,12,proc,1,FALSE,"Ferris, I., 2003. An Empire in Pieces. Roman Archaeology and the Fragment. Theoretical Roman Archaeology Journal, (2002), pp.14–28. DOI: http://doi.org/10.16995/TRAC2002_14_28",University of Birmingham,England,University,,body,,art iconography
156,"González-Ruibal, A",Restoring Ontological Security: Roman and Native Objects in Early Roman Gallaecia (NW Iberia),Theoretical Roman Archaeology Conference Proceedings,2003,pp.29-47,12,proc,1,FALSE,"González-Ruibal, A., 2003. Restoring Ontological Security: Roman and Native Objects in Early Roman Gallaecia (NW Iberia) . Theoretical Roman Archaeology Journal, (2002), pp.29–47. DOI: http://doi.org/10.16995/TRAC2002_29_47",Universidad Computense de Madrid,Spain,University,Spain Ethiopia,phenomenology identity,,anthropology
157,"Swift, E",Transformation in Meaning: Amber and Glass Beads Across the Roman Frontier,Theoretical Roman Archaeology Conference Proceedings,2003,pp.48-57,12,proc,1,FALSE,"Swift, E., 2003. Transformation in Meaning: Amber and Glass Beads Across the Roman Frontier . Theoretical Roman Archaeology Journal, (2002), pp.48–57. DOI: http://doi.org/10.16995/TRAC2002_48_57",University of Kent,England,University,,culture consumption identity,artefacts burial,
158,"MacMahon, A",The Realms of Janus: Doorways in the Roman World,Theoretical Roman Archaeology Conference Proceedings,2003,pp.58-73,12,proc,1,FALSE,"Mac Mahon, A., 2003. The Realms of Janus: Doorways in the Roman World. Theoretical Roman Archaeology Journal, (2002), pp.58–73. DOI: http://doi.org/10.16995/TRAC2002_58_73",Durham University,England,University,Italy,ritual religion,architecture,
159,"Perring, D",Deconstructing the Frampton Pavements: Gnostic Dialectic in Roman Britain,Theoretical Roman Archaeology Conference Proceedings,2003,pp.74-83,12,proc,1,FALSE,"Perring, D., 2003. Deconstructing the Frampton Pavements: Gnostic Dialectic in Roman Britain. Theoretical Roman Archaeology Journal, (2002), pp.74–83. DOI: http://doi.org/10.16995/TRAC2002_74_83",University of York,England,University,Britain,rationality symbolism,mosaic,
160,"Martins, C","Becoming Consumers: Looking Beyond Wealth as
an Explanation for Villa Variability",Theoretical Roman Archaeology Conference Proceedings,2003,pp.84-100,12,proc,1,FALSE,"Martins, C., 2003. Becoming Consumers: Looking Beyond Wealth as an Explanation for Villa Variability. Theoretical Roman Archaeology Journal, (2002), pp.84–100. DOI: http://doi.org/10.16995/TRAC2002_84_100",Durham University,England,University,Britain,consumption,villa,
161,"Johnson, P",Late Roman Economic Systems: Their Implication in the Interpretation of Social Organization,Theoretical Roman Archaeology Conference Proceedings,2003,pp.101-112,12,proc,1,FALSE,"Johnson, P., 2003. Late Roman Economic Systems: Their Implication in the Interpretation of Social Organization. Theoretical Roman Archaeology Journal, (2002), pp.101–112. DOI: http://doi.org/10.16995/TRAC2002_101_112",British School at Rome,Italy,Research Centre,Italy,economy society exchange,,
162,"Carr, G","Creolisation, Pidginisation and the Interpretation of Unique Artefacts in Early Roman Britain",Theoretical Roman Archaeology Conference Proceedings,2003,pp.113-125,12,proc,1,FALSE,"Carr, G., 2003. Creolisation, Pidginisation and the Interpretation of Unique Artefacts in Early Roman Britain. Theoretical Roman Archaeology Journal, (2002), pp.113–125. DOI: http://doi.org/10.16995/TRAC2002_113_125",University of Cambridge,England,University,Britain,creolisation identity,artefacts,
163,"Koerner, S",Breaking Ground or Treading Water? Roman Archaeology and Constructive Implications of the Critique of Meta Narratives,Theoretical Roman Archaeology Conference Proceedings,2003,pp.126-139,12,proc,1,FALSE,"Koerner, S., 2003. Breaking Ground or Treading Water? Roman Archaeology and Constructive Implications of the Critique of Meta Narratives. Theoretical Roman Archaeology Journal, (2002), pp.126–139. DOI: http://doi.org/10.16995/TRAC2002_126_139",University of Manchester,England,University,,post-colonial,,historiography
164,"Baker, P",A Brief Comment on the TRAC Session Dedicated to the Interdisciplinary Approaches to the Study of Roman Women,Theoretical Roman Archaeology Conference Proceedings,2003,pp.140-146,12,proc,1,FALSE,"Baker, P.A., 2003. A Brief Comment on the TRAC Session Dedicated to the Interdisciplinary Approaches to the Study of Roman Women. Theoretical Roman Archaeology Journal, (2002), pp.140–146. DOI: http://doi.org/10.16995/TRAC2002_140_146",University of Kent,England,University,,gender,,
165,"Redfern, R",Sex and the City: A Biocultural Investigation into Female Health in Roman Britain,Theoretical Roman Archaeology Conference Proceedings,2003,pp.147-170,12,proc,1,FALSE,"Redfern, R., 2003. Sex and the City: A Biocultural Investigation into Female Health in Roman Britain. Theoretical Roman Archaeology Journal, (2002), pp.147–170. DOI: http://doi.org/10.16995/TRAC2002_147_170",University of Birmingham,England,University,Britain,urbanism gender,diet,osteoarchaeology
166,"Croxford, B Eckardt, H Meade, J Weekes, J",Preface,Theoretical Roman Archaeology Conference Proceedings,2004,pp.i-iv,13,proc,4,TRUE,"Croxford, B., Eckardt, H., Meade, J. and Weekes, J., 2004. Preface and Editors’ Preface. Theoretical Roman Archaeology Journal, (2003), p.i–iv. DOI: http://doi.org/10.16995/TRAC2003_i_iv",University of Leicester,England,University,,,preface,
167,"Monteil, G",Samian and Consumer Choice in Roman London,Theoretical Roman Archaeology Conference Proceedings,2004,pp.1-15,13,proc,1,FALSE,"Monteil, G., 2004. Samian and Consumer Choice in Roman London . Theoretical Roman Archaeology Journal, (2003), pp.1–15. DOI: http://doi.org/10.16995/TRAC2003_1_15","Birkbeck College, University of London",England,University,Britain,economy consumption,pottery,gis
168,"Pitts, M","“I Drink, Therefore I am?” Pottery Consumption and Identity at Elms Farm, Heybridge, Essex",Theoretical Roman Archaeology Conference Proceedings,2004,pp.16-27,13,proc,1,FALSE,"Pitts, M., 2004. “I Drink, Therefore I am?” Pottery Consumption and Identity at Elms Farm, Heybridge, Essex. Theoretical Roman Archaeology Journal, (2003), pp.16–27. DOI: http://doi.org/10.16995/TRAC2003_16_27",University of York,England,University,Britain,identity,pottery,statistics
169,"Cool, H",Some Notes on Spoons and Mortaria,Theoretical Roman Archaeology Conference Proceedings,2004,pp.28-35,13,proc,1,FALSE,"Cool, H.E.M., 2004. Some Notes on Spoons and Mortaria. Theoretical Roman Archaeology Journal, (2003), pp.28–35. DOI: http://doi.org/10.16995/TRAC2003_28_35",Barbican Research Associates,England,Archaeological consultancy,Britain,society,pottery diet,
170,"Eckardt, H",Remembering and Forgetting in the Roman Provinces,Theoretical Roman Archaeology Conference Proceedings,2004,pp.36-50,13,proc,1,FALSE,"Eckardt, H., 2004. Remembering and Forgetting in the Roman Provinces. Theoretical Roman Archaeology Journal, (2003), pp.36–50. DOI: http://doi.org/10.16995/TRAC2003_36_50",University of Reading,England,University,,memory time identity,monument artefacts prehistory,
171,"Williams, H",Ephemeral Monuments and Social Memory in Early Roman Britain,Theoretical Roman Archaeology Conference Proceedings,2004,pp.51-61,13,proc,1,FALSE,"Williams, H., 2004. Ephemeral Monuments and Social Memory in Early Roman Britain. Theoretical Roman Archaeology Journal, (2003), pp.51–61. DOI: http://doi.org/10.16995/TRAC2003_51_61",University of Exeter,England,University,Britain,memory society,monument burial prehistory,
172,"Grigoropoulos, D",Tomb Robbing and the Transformation of Social Memory in Roman Knossos,Theoretical Roman Archaeology Conference Proceedings,2004,pp.62-77,13,proc,1,FALSE,"Grigoropulous, D., 2004. Tomb Robbing and the Transformation of Social Memory in Roman Knossos. Theoretical Roman Archaeology Journal, (2003), pp.62–77. DOI: http://doi.org/10.16995/TRAC2003_62_77",Durham University,England,University,Greece,memory society,burial prehistory,
